msoa21cd,all_lgb_plus,gay_or_lesbian,bisexual_and_other,all_diff_id,trans_mw,other_id,different_unanswered
E02000168,0.070209875,0.03548241,0.034727465,0.006643515,0.001358901,0.002415824,0.002868791
E02000169,0.036670143,0.021724018,0.014946125,0.004341785,0.001736714,0.001042028,0.001563043
E02000170,0.053967771,0.029340225,0.024627546,0.006534954,0.002431611,0.001823708,0.002279635
E02000171,0.062147802,0.035260023,0.02688778,0.005312299,0.001770766,0.001609788,0.001931745
E02000172,0.055725658,0.026331904,0.029393753,0.008573178,0.001592162,0.001959584,0.005021433
E02000173,0.052810627,0.028673254,0.024137372,0.006317836,0.001781954,0.002429937,0.002105945
E02000174,0.074988907,0.039787014,0.035201893,0.008134891,0.002810235,0.002366514,0.002958142
E02000175,0.064585712,0.035909149,0.028676564,0.005711385,0.002284554,0.000761518,0.002665313
E02000176,0.058977456,0.03099839,0.027979066,0.005032206,0.001610306,0.002012882,0.001409018
E02000177,0.05804452,0.027613412,0.030431107,0.006903353,0.001408848,0.000845309,0.004649197
E02000178,0.070415134,0.03980557,0.030609564,0.01064389,0.003416557,0.001445466,0.005781866
E02000179,0.055743959,0.030521407,0.025222552,0.007201864,0.002753654,0.001694556,0.002753654
E02000180,0.090032631,0.045238802,0.04479383,0.010234352,0.003411451,0.003263127,0.003559775
E02000181,0.062874689,0.035823951,0.027050739,0.006577024,0.00336159,0.001607717,0.001607717
E02000182,0.040103717,0.02454624,0.015557476,0.005358686,0.001555748,0.001037165,0.002765774
E02000183,0.058641018,0.031492398,0.02714862,0.006672874,0.002638113,0.001862197,0.002172564
E02000184,0.093068284,0.04117723,0.051891055,0.009292721,0.002452246,0.002581311,0.004259164
E02000185,0.049421806,0.02409141,0.025330397,0.014452856,0.004267034,0.001927047,0.008258775
E02000186,0.093100276,0.049862006,0.04323827,0.009749816,0.002575423,0.003127299,0.004047093
E02000187,0.057836755,0.027165749,0.030671006,0.009891073,0.0036309,0.001627645,0.004632528
E02000188,0.066947723,0.03237774,0.034569984,0.013495277,0.004385965,0.002699055,0.006410256
E02000191,0.129404738,0.070077643,0.059327095,0.005774592,0.001991239,0.001194743,0.00258861
E02000192,0.085873541,0.058352203,0.027521338,0.008536585,0.00261324,0.002090592,0.003832753
E02000193,0.127906977,0.08502907,0.042877907,0.006544265,0.002544992,0.002363207,0.001636066
E02000194,0.062274489,0.039021783,0.023252706,0.009220901,0.004142724,0.001469999,0.003608179
E02000195,0.027390181,0.015762274,0.011627907,0.006720083,0.002972344,0.001033859,0.00271388
E02000196,0.023765432,0.013425926,0.010339506,0.010030864,0.003858025,0.000925926,0.005246914
E02000197,0.022963368,0.012438491,0.010524877,0.008202324,0.003144224,0.000546822,0.004511278
E02000198,0.032662958,0.014405934,0.018257024,0.014829602,0.004135178,0.001711108,0.008983317
E02000199,0.030074074,0.015259259,0.014814815,0.010075567,0.004148763,0.00074085,0.005185953
E02000200,0.045163923,0.022717998,0.022445925,0.006394558,0.00244898,0.000952381,0.002993197
E02000201,0.044965355,0.023440955,0.021524399,0.018428424,0.011057054,0.000737137,0.006634233
E02000202,0.026735722,0.013577828,0.013157895,0.011613264,0.003917728,0.000419757,0.00727578
E02000203,0.028444303,0.013348165,0.015096138,0.012555626,0.005562619,0.000953592,0.006039415
E02000204,0.022861648,0.009459992,0.013401655,0.012350545,0.004598607,0.000919721,0.006832217
E02000206,0.038221903,0.016055595,0.022166307,0.013659238,0.004912533,0.001797268,0.006949437
E02000207,0.027454243,0.013311148,0.014143094,0.007071547,0.002634498,0.001109262,0.003327787
E02000208,0.029892976,0.013654816,0.016238159,0.013413734,0.004799409,0.000738371,0.007875954
E02000209,0.024832311,0.007706579,0.017125732,0.012710654,0.005569837,0.000571265,0.006569552
E02000210,0.037021031,0.017286085,0.019734947,0.007058485,0.002736963,0.000864304,0.003457217
E02000211,0.017579842,0.008789921,0.008789921,0.004101963,0.001611485,0.000732493,0.001757984
E02000212,0.031653478,0.009024018,0.02262946,0.01860336,0.005414411,0.000971817,0.012217132
E02000213,0.044190515,0.021741329,0.022449186,0.014863498,0.004853387,0.001314459,0.008695652
E02000214,0.024582104,0.011996067,0.012586038,0.005505309,0.0021628,0.000589855,0.002752654
E02000215,0.048757667,0.023703088,0.025054579,0.008212912,0.001767335,0.001351492,0.005094085
E02000216,0.035838553,0.016005567,0.019832985,0.009388039,0.004346314,0.001043115,0.003998609
E02000217,0.047031032,0.023408139,0.023622893,0.013099968,0.004617202,0.002040159,0.006442607
E02000218,0.022040179,0.010727521,0.011312475,0.007410296,0.003315133,0.000585023,0.00351014
E02000219,0.019508449,0.010906298,0.00860215,0.003841426,0.00153657,0.000921942,0.001382913
E02000221,0.027279253,0.011725293,0.015553961,0.008255564,0.002392917,0.000478583,0.005384063
E02000222,0.040422054,0.022291574,0.01813048,0.007433839,0.001635445,0.000594707,0.005203687
E02000223,0.02244389,0.007647548,0.014796342,0.006483791,0.002826268,0.000665004,0.002992519
E02000224,0.032792005,0.014678326,0.018113679,0.015612802,0.003747073,0.000468384,0.011397346
E02000225,0.022309937,0.010983353,0.011326583,0.006005491,0.002402196,0.000343171,0.003260124
E02000226,0.016711762,0.00891294,0.007798822,0.003819831,0.001750756,0.00015916,0.001909916
E02000227,0.021755359,0.008958089,0.01279727,0.004372401,0.001812947,0.000106644,0.00245281
E02000228,0.015478424,0.008442777,0.007035647,0.003126954,0.001719825,0.000312695,0.001094434
E02000229,0.017554992,0.007191201,0.01036379,0.006133672,0.002961083,0.000634518,0.002538071
E02000230,0.025428671,0.013647498,0.011781173,0.005366935,0.00233345,0.00046669,0.002566795
E02000231,0.019104386,0.009475776,0.009628611,0.003361858,0.001680929,0.00091687,0.000764059
E02000232,0.015976331,0.008481262,0.007494876,0.003747535,0.001380671,0.000591716,0.001775148
E02000233,0.023609444,0.012605042,0.011004401,0.003601441,0.0010004,0,0.00260104
E02000234,0.024123989,0.013477089,0.0106469,0.006739453,0.002021836,0.000808734,0.003908883
E02000235,0.018366619,0.009450785,0.008915835,0.004458712,0.001605136,0.001426788,0.001426788
E02000236,0.019951889,0.010612707,0.009339182,0.004810413,0.002546689,0.000565931,0.001697793
E02000237,0.020574788,0.012573481,0.008001307,0.003918367,0.001469388,0.000979592,0.001469388
E02000238,0.022069927,0.008944128,0.013125798,0.009292601,0.002555465,0.000116158,0.006620978
E02000239,0.017699115,0.005631537,0.012067578,0.008315451,0.001475322,0.000670601,0.006169528
E02000240,0.018317115,0.006067544,0.012249571,0.007327685,0.002976872,0.000114495,0.004236318
E02000241,0.022338805,0.010323236,0.01201557,0.009309411,0.004570074,0.000338524,0.004400812
